	0	1
7	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/al-snow-210.html
8	http://www.profightdb.com/wrestlers/hulk-hogan-19.html	http://www.profightdb.com/wrestlers/triple-h-193.html
0	http://www.profightdb.com/wrestlers/al-snow-210.html	http://www.profightdb.com/wrestlers/jason-albert-292.html
1	http://www.profightdb.com/wrestlers/chavo-guerrero-jr-356.html	http://www.profightdb.com/wrestlers/billy-kidman-333.html
2	http://www.profightdb.com/wrestlers/ron-simmons-218.html	http://www.profightdb.com/wrestlers/andrew-martin-281.html
3	http://www.profightdb.com/wrestlers/bob-holly-171.html	http://www.profightdb.com/wrestlers/dallas-page-342.html
4	http://www.profightdb.com/wrestlers/hulk-hogan-19.html	http://www.profightdb.com/wrestlers/chris-jericho-296.html
0	http://www.profightdb.com/wrestlers/the-pimp-fatha-142.html	http://www.profightdb.com/wrestlers/sean-morley-270.html
1	http://www.profightdb.com/wrestlers/christian-277.html	http://www.profightdb.com/wrestlers/funaki-267.html
2	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/bill-demott-336.html
0	http://www.profightdb.com/wrestlers/raven-315.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
1	http://www.profightdb.com/wrestlers/tommy-dreamer-359.html	http://www.profightdb.com/wrestlers/raven-315.html
2	http://www.profightdb.com/wrestlers/stevie-richards-314.html	http://www.profightdb.com/wrestlers/tommy-dreamer-359.html
3	http://www.profightdb.com/wrestlers/bully-ray-294.html	http://www.profightdb.com/wrestlers/stevie-richards-314.html
4	http://www.profightdb.com/wrestlers/the-big-show-283.html	http://www.profightdb.com/wrestlers/shawn-stasiak-335.html
5	http://www.profightdb.com/wrestlers/jacqueline-moore-271.html	http://www.profightdb.com/wrestlers/mike-lockwood-291.html
6	http://www.profightdb.com/wrestlers/eddie-guerrero-309.html	http://www.profightdb.com/wrestlers/rob-van-dam-338.html
7	http://www.profightdb.com/wrestlers/trish-stratus-313.html	http://www.profightdb.com/wrestlers/nora-greenwald-318.html
8	http://www.profightdb.com/wrestlers/john-layfield-207.html	http://www.profightdb.com/wrestlers/scott-hall-147.html
0	http://www.profightdb.com/wrestlers/d-lo-brown-247.html	http://www.profightdb.com/wrestlers/justin-credible-186.html
1	http://www.profightdb.com/wrestlers/tommy-dreamer-359.html	http://www.profightdb.com/wrestlers/ray-traylor-95.html
2	http://www.profightdb.com/wrestlers/curt-hennig-100.html	http://www.profightdb.com/wrestlers/stevie-richards-314.html
0	http://www.profightdb.com/wrestlers/tajiri-337.html	http://www.profightdb.com/wrestlers/hurricane-helms-343.html
1	http://www.profightdb.com/wrestlers/jason-albert-292.html	http://www.profightdb.com/wrestlers/scott-taylor-261.html
2	http://www.profightdb.com/wrestlers/chris-jericho-296.html	http://www.profightdb.com/wrestlers/edge-273.html
3	http://www.profightdb.com/wrestlers/al-snow-210.html	http://www.profightdb.com/wrestlers/chuck-palumbo-332.html
4	http://www.profightdb.com/wrestlers/triple-h-193.html	http://www.profightdb.com/wrestlers/kurt-angle-299.html
0	http://www.profightdb.com/wrestlers/funaki-267.html	http://www.profightdb.com/wrestlers/lance-storm-327.html
1	http://www.profightdb.com/wrestlers/bill-demott-336.html	http://www.profightdb.com/wrestlers/christian-277.html
2	http://www.profightdb.com/wrestlers/billy-kidman-333.html	http://www.profightdb.com/wrestlers/chavo-guerrero-jr-356.html
3	http://www.profightdb.com/wrestlers/dallas-page-342.html	http://www.profightdb.com/wrestlers/bob-holly-171.html
0	http://www.profightdb.com/wrestlers/bully-ray-294.html	http://www.profightdb.com/wrestlers/goldust-123.html
1	http://www.profightdb.com/wrestlers/sean-waltman-163.html	http://www.profightdb.com/wrestlers/kane-197.html
2	http://www.profightdb.com/wrestlers/spike-dudley-325.html	http://www.profightdb.com/wrestlers/william-regal-316.html
3	http://www.profightdb.com/wrestlers/the-undertaker-124.html	http://www.profightdb.com/wrestlers/rob-van-dam-338.html
4	http://www.profightdb.com/wrestlers/nora-greenwald-318.html	http://www.profightdb.com/wrestlers/trish-stratus-313.html
5	http://www.profightdb.com/wrestlers/the-big-show-283.html	http://www.profightdb.com/wrestlers/curt-hennig-100.html
6	http://www.profightdb.com/wrestlers/steve-austin-205.html	http://www.profightdb.com/wrestlers/scott-hall-147.html
0	http://www.profightdb.com/wrestlers/jeff-hardy-289.html	http://www.profightdb.com/wrestlers/justin-credible-186.html
1	http://www.profightdb.com/wrestlers/goldust-123.html	http://www.profightdb.com/wrestlers/shawn-stasiak-335.html
2	http://www.profightdb.com/wrestlers/mike-lockwood-291.html	http://www.profightdb.com/wrestlers/jacqueline-moore-271.html
3	http://www.profightdb.com/wrestlers/john-layfield-207.html	http://www.profightdb.com/wrestlers/ray-traylor-95.html
0	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/jason-albert-292.html
1	http://www.profightdb.com/wrestlers/christian-277.html	http://www.profightdb.com/wrestlers/dallas-page-342.html
2	http://www.profightdb.com/wrestlers/edge-273.html	http://www.profightdb.com/wrestlers/kurt-angle-299.html
3	http://www.profightdb.com/wrestlers/billy-kidman-333.html	http://www.profightdb.com/wrestlers/tajiri-337.html
4	http://www.profightdb.com/wrestlers/bob-holly-171.html	http://www.profightdb.com/wrestlers/maven-345.html
5	http://www.profightdb.com/wrestlers/the-rock-229.html	http://www.profightdb.com/wrestlers/chris-jericho-296.html
0	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/lisa-moretti-293.html
1	http://www.profightdb.com/wrestlers/ron-simmons-218.html	http://www.profightdb.com/wrestlers/lance-storm-327.html
2	http://www.profightdb.com/wrestlers/chavo-guerrero-jr-356.html	http://www.profightdb.com/wrestlers/funaki-267.html
0	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/booker-t-341.html
1	http://www.profightdb.com/wrestlers/spike-dudley-325.html	http://www.profightdb.com/wrestlers/william-regal-316.html
2	http://www.profightdb.com/wrestlers/bully-ray-294.html	http://www.profightdb.com/wrestlers/raven-315.html
3	http://www.profightdb.com/wrestlers/jeff-hardy-289.html	http://www.profightdb.com/wrestlers/ray-traylor-95.html
4	http://www.profightdb.com/wrestlers/trish-stratus-313.html	http://www.profightdb.com/wrestlers/terri-runnels-304.html
5	http://www.profightdb.com/wrestlers/kane-197.html	http://www.profightdb.com/wrestlers/sean-waltman-163.html
0	http://www.profightdb.com/wrestlers/the-big-show-283.html	http://www.profightdb.com/wrestlers/goldust-123.html
1	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/jacqueline-moore-271.html
2	http://www.profightdb.com/wrestlers/scott-hall-147.html	http://www.profightdb.com/wrestlers/mike-lockwood-291.html
3	http://www.profightdb.com/wrestlers/shawn-stasiak-335.html	http://www.profightdb.com/wrestlers/tommy-dreamer-359.html
0	http://www.profightdb.com/wrestlers/dallas-page-342.html	http://www.profightdb.com/wrestlers/christian-277.html
1	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/nora-greenwald-318.html
2	http://www.profightdb.com/wrestlers/fatu-154.html	http://www.profightdb.com/wrestlers/tommy-dreamer-359.html
3	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/jeff-hardy-289.html
4	http://www.profightdb.com/wrestlers/brock-lesnar-346.html	http://www.profightdb.com/wrestlers/spike-dudley-325.html
5	http://www.profightdb.com/wrestlers/rob-van-dam-338.html	http://www.profightdb.com/wrestlers/william-regal-316.html
6	http://www.profightdb.com/wrestlers/booker-t-341.html	http://www.profightdb.com/wrestlers/taz-302.html
7	http://www.profightdb.com/wrestlers/john-layfield-207.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
8	http://www.profightdb.com/wrestlers/hulk-hogan-19.html	http://www.profightdb.com/wrestlers/kevin-nash-167.html
0	http://www.profightdb.com/wrestlers/tajiri-337.html	http://www.profightdb.com/wrestlers/billy-kidman-333.html
1	http://www.profightdb.com/wrestlers/trish-stratus-313.html	http://www.profightdb.com/wrestlers/lisa-moretti-293.html
2	http://www.profightdb.com/wrestlers/bill-demott-336.html	http://www.profightdb.com/wrestlers/curt-hennig-100.html
3	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/randy-orton-384.html
4	http://www.profightdb.com/wrestlers/jason-albert-292.html	http://www.profightdb.com/wrestlers/goldust-123.html
5	http://www.profightdb.com/wrestlers/ric-flair-138.html	http://www.profightdb.com/wrestlers/the-undertaker-124.html
6	http://www.profightdb.com/wrestlers/sean-morley-270.html	http://www.profightdb.com/wrestlers/andrew-martin-281.html
7	http://www.profightdb.com/wrestlers/chris-jericho-296.html	http://www.profightdb.com/wrestlers/edge-273.html
8	http://www.profightdb.com/wrestlers/kane-197.html	http://www.profightdb.com/wrestlers/kurt-angle-299.html
0	http://www.profightdb.com/wrestlers/tajiri-337.html	http://www.profightdb.com/wrestlers/billy-kidman-333.html
1	http://www.profightdb.com/wrestlers/trish-stratus-313.html	http://www.profightdb.com/wrestlers/lisa-moretti-293.html
2	http://www.profightdb.com/wrestlers/bill-demott-336.html	http://www.profightdb.com/wrestlers/curt-hennig-100.html
3	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/randy-orton-384.html
4	http://www.profightdb.com/wrestlers/goldust-123.html	http://www.profightdb.com/wrestlers/jason-albert-292.html
5	http://www.profightdb.com/wrestlers/ric-flair-138.html	http://www.profightdb.com/wrestlers/the-undertaker-124.html
